,0,1,2,3,4,5,6,7
2023-09-06,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty
2023-09-13,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty
2023-09-20,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty
2023-09-27,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty
2023-10-04,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty
2023-10-11,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty
2023-10-18,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty
2023-10-25,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty
2023-11-01,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty
2023-11-08,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty
2023-11-15,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty
2023-11-22,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty
