trade_date,ticker,settle,volume,open_interest,stale_flag,delivery_start,delivery_end,last_trade_date,delivery_hours,delivery_month,tau_start,tau_end,log_settle,tau_mid,gbar
2018-01-02,DETG18 Comdty,43.1,166.0,13811.0,False,2018-02-01,2018-02-28,2018-02-27,672,2,0.08213552361396304,0.15605749486652978,3.763522997109702,0.12046543463381244,0.11270308812782434
2018-01-02,DETH18 Comdty,37.3,130.0,13965.0,False,2018-03-01,2018-03-31,2018-03-29,743,3,0.15879534565366188,0.24093086926762491,3.6189933266497696,0.20119886911654566,0.018266458792114113
2018-01-02,DETJ18 Comdty,35.41,50.0,275.0,False,2018-04-01,2018-04-30,2018-04-30,720,4,0.243668720054757,0.32306639288158795,3.566994266123812,0.28473648186173856,-0.10636538790339967
2018-01-02,DETK18 Comdty,32.24,,,False,2018-05-01,2018-05-31,2018-05-30,744,5,0.3258042436687201,0.4079397672826831,3.4732079176384274,0.36824093086926757,-0.1256751637462006
2018-01-02,DETM18 Comdty,35.51,,,False,2018-06-01,2018-06-30,2018-06-29,720,6,0.4106776180698152,0.49007529089664614,3.5698143469549963,0.45174537987679675,-0.07204529167517351
2018-01-02,DETN18 Comdty,35.15,,,False,2018-07-01,2018-07-31,2018-07-30,744,7,0.4928131416837782,0.5749486652977412,3.5596246182566738,0.5352498288843258,-0.05893221994153971
2018-01-02,DETQ18 Comdty,32.96,,,False,2018-08-01,2018-08-31,2018-08-30,744,8,0.5776865160848734,0.6598220396988365,3.495294705041271,0.620123203285421,-0.06736725571487213
2018-01-02,DETU18 Comdty,36.58,,,False,2018-09-01,2018-09-30,2018-09-28,720,9,0.6625598904859685,0.7419575633127995,3.5995016429627196,0.7036276522929499,-0.012865392091014718
2018-01-02,DETV18 Comdty,39.56,,,False,2018-10-01,2018-10-31,2018-10-30,745,10,0.7446954140999316,0.8268309377138946,3.6778185067545115,0.7871762009104735,0.06429303958401879
2018-01-03,DETG18 Comdty,42.56,235.0,14018.0,False,2018-02-01,2018-02-28,2018-02-27,672,2,0.07939767282683094,0.15331964407939766,3.750914845033389,0.11772758384668035,0.11270308812782434
2018-01-03,DETH18 Comdty,37.24,150.0,14130.0,False,2018-03-01,2018-03-31,2018-03-29,743,3,0.15605749486652978,0.23819301848049282,3.617383452408866,0.19846101832941354,0.01826645879211412
2018-01-03,DETJ18 Comdty,35.88,50.0,275.0,False,2018-04-01,2018-04-30,2018-04-30,720,4,0.24093086926762491,0.3203285420944558,3.5801800371905954,0.28199863107460643,-0.10636538790339965
2018-01-03,DETK18 Comdty,32.2,,,False,2018-05-01,2018-05-31,2018-05-30,744,5,0.32306639288158795,0.405201916495551,3.4719664525503626,0.3655030800821355,-0.1256751637462006
2018-01-03,DETM18 Comdty,35.16,,,False,2018-06-01,2018-06-30,2018-06-29,720,6,0.4079397672826831,0.487337440109514,3.559909072816976,0.44900752908966457,-0.07204529167517351
2018-01-03,DETN18 Comdty,35.1,,,False,2018-07-01,2018-07-31,2018-07-30,744,7,0.49007529089664614,0.5722108145106092,3.55820113047182,0.5325119780971937,-0.058932219941539715
2018-01-03,DETQ18 Comdty,32.98,,,False,2018-08-01,2018-08-31,2018-08-30,744,8,0.5749486652977412,0.6570841889117043,3.4959013171314526,0.6173853524982887,-0.06736725571487207
2018-01-03,DETU18 Comdty,36.52,,,False,2018-09-01,2018-09-30,2018-09-28,720,9,0.6598220396988365,0.7392197125256673,3.597860055726768,0.7008898015058178,-0.01286539209101462
2018-01-03,DETV18 Comdty,39.61,,,False,2018-10-01,2018-10-31,2018-10-30,745,10,0.7419575633127995,0.8240930869267625,3.6790816116338254,0.7844383501233413,0.06429303958401884
2018-01-04,DETG18 Comdty,41.77,321.0,14363.0,False,2018-02-01,2018-02-28,2018-02-27,672,2,0.07665982203969883,0.15058179329226556,3.732178378509084,0.11498973305954827,0.11270308812782433
2018-01-04,DETH18 Comdty,36.74,91.0,14232.0,False,2018-03-01,2018-03-31,2018-03-29,743,3,0.15331964407939766,0.23545516769336072,3.6038660797869797,0.19572316754228145,0.01826645879211409
2018-01-04,DETJ18 Comdty,35.58,50.0,275.0,False,2018-04-01,2018-04-30,2018-04-30,720,4,0.23819301848049282,0.31759069130732376,3.571783682237689,0.27926078028747436,-0.10636538790339967
2018-01-04,DETK18 Comdty,31.96,,,False,2018-05-01,2018-05-31,2018-05-30,744,5,0.3203285420944558,0.4024640657084189,3.464485120898074,0.36276522929500343,-0.1256751637462006
2018-01-04,DETM18 Comdty,34.87,,,False,2018-06-01,2018-06-30,2018-06-29,720,6,0.405201916495551,0.48459958932238195,3.5516268606875596,0.44626967830253245,-0.07204529167517351
2018-01-04,DETN18 Comdty,34.82,,,False,2018-07-01,2018-07-31,2018-07-30,744,7,0.487337440109514,0.5694729637234771,3.550191934340043,0.5297741273100616,-0.05893221994153972
2018-01-04,DETQ18 Comdty,33.05,,,False,2018-08-01,2018-08-31,2018-08-30,744,8,0.5722108145106092,0.6543463381245722,3.498021566297695,0.6146475017111567,-0.06736725571487209
