,0,1,2,3,4,5,6,7
2018-12-28,DETF19 Comdty,DETG19 Comdty,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty
2019-01-02,DETG19 Comdty,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty
2019-01-09,DETG19 Comdty,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty
2019-01-16,DETG19 Comdty,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty
2019-01-23,DETG19 Comdty,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty
2019-01-30,DETG19 Comdty,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty
2019-02-06,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty
2019-02-13,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty
2019-02-20,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty
2019-02-27,DETH19 Comdty,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty
2019-03-06,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty
2019-03-13,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty
2019-03-20,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty
2019-03-27,DETJ19 Comdty,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty
2019-04-03,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty
2019-04-10,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty
2019-04-17,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty
2019-04-24,DETK19 Comdty,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty
2019-05-03,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty
2019-05-08,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty
2019-05-15,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty
2019-05-22,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty
2019-05-29,DETM19 Comdty,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty
2019-06-05,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty
2019-06-12,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty
2019-06-19,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty
2019-06-26,DETN19 Comdty,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty
2019-07-03,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty
2019-07-10,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty
2019-07-17,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty
2019-07-24,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty
2019-07-31,DETQ19 Comdty,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty
2019-08-07,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty
2019-08-14,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty
2019-08-21,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty
2019-08-28,DETU19 Comdty,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty
2019-09-04,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty
2019-09-11,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty
2019-09-18,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty
2019-09-25,DETV19 Comdty,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty
2019-10-02,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty
2019-10-09,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty
2019-10-16,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty
2019-10-23,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty
2019-10-30,DETX19 Comdty,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty
2019-11-06,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty
2019-11-13,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty
2019-11-20,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty
2019-11-27,DETZ19 Comdty,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty
2019-12-04,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty
2019-12-11,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty
2019-12-18,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty
2019-12-27,DETF20 Comdty,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty
2020-01-03,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty
2020-01-08,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty
2020-01-15,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty
